"uidplot","yr","Sporobolus_rigens","Noticastrum_sericeum","Panicum_urvilleanum","Hoffmannseggia_trifoliata","Plantago_patagonica","Nassella_tenuis","Galium_richardianum","Hypochaeris_radicata","Facelis_retusa","Gamochaeta_sp","Erodium_cicutarium","Schismus_barbatus","Vulpia_bromoides","Bare ground","Litter","Moss","Cardionema_ramosissima","Forb_6 (sanpablovaldes)","Forb_5 (sanpablovaldes)","Disturbance_burrow","Pappostipa_speciosa","Herniaria_cinerea","Junellia_connatibracteata","Pectocarya_linearis","Piptochaetium_napostaense","Descurainia_sp","Poa_lanuginosa","Ephedra_ochreata","Vicia pampicola","Maihueniopsis_darwinii","Hordeum_murinum","Grass_4 (sanpablovaldes)","Bromus_sp","Forb_7 (sanpablovaldes)","Forb_12 (sanpablovaldes)","Forb_11 (sanpablovaldes)","Forb_13 (sanpablovaldes)"
"Partial2","2017",2,1,3,4,2,20,1,2,2,1,1,1,1,40,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure2","2017",3,1,0,0,0,50,15,3,8,2,2,1,0,35,1,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control2","2017",5,1,1,0,1,8,1,1,2,8,8,0,1,51,10,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Partial1","2017",3,0,2,0,0,30,2,3,3,2,2,1,4,40,5,30,2,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure1","2017",3,0,2,0,0,40,0,3,7,2,1,1,0,20,5,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control1","2017",15,1,2,0,0,5,1,3,2,5,3,3,0,40,25,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Partial3","2017",0,9,10,2,0,15,3,1,2,4,0,1,0,60,1,3,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure3","2017",1,4,4,0,1,7,2,3,2,4,0,1,1,60,1,3,0,0,0,50,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control3","2017",3,1,0,0,0,13,1,4,1,13,0,1,1,20,2,40,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Partial4","2017",5,0,0,0,2,20,1,3,15,3,1,1,3,30,4,60,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure4","2017",10,0,0,0,1,15,2,2,35,3,0,0,1,10,15,50,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control4","2017",25,0,0,0,0,10,0,3,2,7,2,1,0,45,15,10,3,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"Partial5","2017",1,2,0,0,0,35,6,0,7,5,0,1,1,30,1,2,2,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure5","2017",3,7,0,0,0,35,6,1,8,4,0,0,0,40,3,12,1,0,0,0,1,1,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0
"Control5","2017",1,1,0,0,0,15,1,2,5,15,0,1,1,50,2,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Partial6","2017",10,0,0,0,0,7,0,3,3,4,4,5,0,60,5,3,1,1,1,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure6","2017",2,2,0,0,0,7,7,5,2,8,3,7,2,50,1,4,0,0,0,10,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Control6","2017",2,1,0,0,3,10,1,3,4,10,0,2,2,40,3,20,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Partial1","2018",4,0,0,0,0,30,4,0,5,2,4,2,3,40,10,35,2,0,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Exclosure1","2018",3,1,1,0,0,25,0,1,5,3,0,1,0,10,2,50,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Control1","2018",6,2,1,0,0,15,1,1,1,1,0,15,1,35,5,15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Control2","2018",6,0,0,0,1,15,1,2,4,1,8,6,1,50,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure2","2018",3,2,1,0,0,30,2,0,3,0,1,1,1,35,15,11,1,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0
"Partial2","2018",3,2,5,0,5,25,0,0,1,1,2,5,1,35,10,15,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0
"Exclosure4","2018",5,0,0,0,8,20,1,2,20,3,0,0,2,10,4,60,0,0,0,0,3,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
"Partial4","2018",2,1,1,0,5,15,1,1,4,1,3,1,0,30,2,40,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Control4","2018",7,2,0,0,0,10,1,2,2,4,0,0,2,50,5,15,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
