"Plot","SubPlot","Herbivory","yr","uidplot","taxa","cover"
"2",4,"Partial","2017","Partial2","Sporobolus rigens",2
"2",4,"Partial","2017","Partial2","Noticastrum sericeum",1
"2",4,"Partial","2017","Partial2","Panicum urvilleanum",3
"2",4,"Partial","2017","Partial2","Hoffmannseggia trifoliata",4
"2",4,"Partial","2017","Partial2","Plantago patagonica",2
"2",4,"Partial","2017","Partial2","Nassella tenuis",20
"2",4,"Partial","2017","Partial2","Poa lanuginosa",0
"2",4,"Partial","2017","Partial2","Vicia pampicola",0
"2",3,"Exclosure","2017","Exclosure2","Sporobolus rigens",3
"2",3,"Exclosure","2017","Exclosure2","Noticastrum sericeum",1
"2",3,"Exclosure","2017","Exclosure2","Panicum urvilleanum",0
"2",3,"Exclosure","2017","Exclosure2","Hoffmannseggia trifoliata",0
"2",3,"Exclosure","2017","Exclosure2","Plantago patagonica",0
"2",3,"Exclosure","2017","Exclosure2","Nassella tenuis",50
"2",3,"Exclosure","2017","Exclosure2","Poa lanuginosa",0
"2",3,"Exclosure","2017","Exclosure2","Vicia pampicola",0
"2",1,"Control","2017","Control2","Sporobolus rigens",5
"2",1,"Control","2017","Control2","Noticastrum sericeum",1
"2",1,"Control","2017","Control2","Panicum urvilleanum",1
"2",1,"Control","2017","Control2","Hoffmannseggia trifoliata",0
"2",1,"Control","2017","Control2","Plantago patagonica",1
"2",1,"Control","2017","Control2","Nassella tenuis",8
"2",1,"Control","2017","Control2","Poa lanuginosa",0
"2",1,"Control","2017","Control2","Vicia pampicola",0
"1",4,"Partial","2017","Partial1","Sporobolus rigens",3
"1",4,"Partial","2017","Partial1","Noticastrum sericeum",0
"1",4,"Partial","2017","Partial1","Panicum urvilleanum",2
"1",4,"Partial","2017","Partial1","Hoffmannseggia trifoliata",0
"1",4,"Partial","2017","Partial1","Plantago patagonica",0
"1",4,"Partial","2017","Partial1","Nassella tenuis",30
"1",4,"Partial","2017","Partial1","Poa lanuginosa",0
"1",4,"Partial","2017","Partial1","Vicia pampicola",0
"1",3,"Exclosure","2017","Exclosure1","Sporobolus rigens",3
"1",3,"Exclosure","2017","Exclosure1","Noticastrum sericeum",0
"1",3,"Exclosure","2017","Exclosure1","Panicum urvilleanum",2
"1",3,"Exclosure","2017","Exclosure1","Hoffmannseggia trifoliata",0
"1",3,"Exclosure","2017","Exclosure1","Plantago patagonica",0
"1",3,"Exclosure","2017","Exclosure1","Nassella tenuis",40
"1",3,"Exclosure","2017","Exclosure1","Poa lanuginosa",0
"1",3,"Exclosure","2017","Exclosure1","Vicia pampicola",0
"1",1,"Control","2017","Control1","Sporobolus rigens",15
"1",1,"Control","2017","Control1","Noticastrum sericeum",1
"1",1,"Control","2017","Control1","Panicum urvilleanum",2
"1",1,"Control","2017","Control1","Hoffmannseggia trifoliata",0
"1",1,"Control","2017","Control1","Plantago patagonica",0
"1",1,"Control","2017","Control1","Nassella tenuis",5
"1",1,"Control","2017","Control1","Poa lanuginosa",0
"1",1,"Control","2017","Control1","Vicia pampicola",0
"3",4,"Partial","2017","Partial3","Sporobolus rigens",0
"3",4,"Partial","2017","Partial3","Noticastrum sericeum",9
"3",4,"Partial","2017","Partial3","Panicum urvilleanum",10
"3",4,"Partial","2017","Partial3","Hoffmannseggia trifoliata",2
"3",4,"Partial","2017","Partial3","Plantago patagonica",0
"3",4,"Partial","2017","Partial3","Nassella tenuis",15
"3",4,"Partial","2017","Partial3","Poa lanuginosa",0
"3",4,"Partial","2017","Partial3","Vicia pampicola",0
"3",3,"Exclosure","2017","Exclosure3","Sporobolus rigens",1
"3",3,"Exclosure","2017","Exclosure3","Noticastrum sericeum",4
"3",3,"Exclosure","2017","Exclosure3","Panicum urvilleanum",4
"3",3,"Exclosure","2017","Exclosure3","Hoffmannseggia trifoliata",0
"3",3,"Exclosure","2017","Exclosure3","Plantago patagonica",1
"3",3,"Exclosure","2017","Exclosure3","Nassella tenuis",7
"3",3,"Exclosure","2017","Exclosure3","Poa lanuginosa",0
"3",3,"Exclosure","2017","Exclosure3","Vicia pampicola",0
"3",1,"Control","2017","Control3","Sporobolus rigens",3
"3",1,"Control","2017","Control3","Noticastrum sericeum",1
"3",1,"Control","2017","Control3","Panicum urvilleanum",0
"3",1,"Control","2017","Control3","Hoffmannseggia trifoliata",0
"3",1,"Control","2017","Control3","Plantago patagonica",0
"3",1,"Control","2017","Control3","Nassella tenuis",13
"3",1,"Control","2017","Control3","Poa lanuginosa",0
"3",1,"Control","2017","Control3","Vicia pampicola",0
"4",4,"Partial","2017","Partial4","Sporobolus rigens",5
"4",4,"Partial","2017","Partial4","Noticastrum sericeum",0
"4",4,"Partial","2017","Partial4","Panicum urvilleanum",0
"4",4,"Partial","2017","Partial4","Hoffmannseggia trifoliata",0
"4",4,"Partial","2017","Partial4","Plantago patagonica",2
"4",4,"Partial","2017","Partial4","Nassella tenuis",20
"4",4,"Partial","2017","Partial4","Poa lanuginosa",0
"4",4,"Partial","2017","Partial4","Vicia pampicola",0
"4",3,"Exclosure","2017","Exclosure4","Sporobolus rigens",10
"4",3,"Exclosure","2017","Exclosure4","Noticastrum sericeum",0
"4",3,"Exclosure","2017","Exclosure4","Panicum urvilleanum",0
"4",3,"Exclosure","2017","Exclosure4","Hoffmannseggia trifoliata",0
"4",3,"Exclosure","2017","Exclosure4","Plantago patagonica",1
"4",3,"Exclosure","2017","Exclosure4","Nassella tenuis",15
"4",3,"Exclosure","2017","Exclosure4","Poa lanuginosa",0
"4",3,"Exclosure","2017","Exclosure4","Vicia pampicola",0
"4",1,"Control","2017","Control4","Sporobolus rigens",25
"4",1,"Control","2017","Control4","Noticastrum sericeum",0
"4",1,"Control","2017","Control4","Panicum urvilleanum",0
"4",1,"Control","2017","Control4","Hoffmannseggia trifoliata",0
"4",1,"Control","2017","Control4","Plantago patagonica",0
"4",1,"Control","2017","Control4","Nassella tenuis",10
"4",1,"Control","2017","Control4","Poa lanuginosa",0
"4",1,"Control","2017","Control4","Vicia pampicola",0
"5",4,"Partial","2017","Partial5","Sporobolus rigens",1
"5",4,"Partial","2017","Partial5","Noticastrum sericeum",2
"5",4,"Partial","2017","Partial5","Panicum urvilleanum",0
"5",4,"Partial","2017","Partial5","Hoffmannseggia trifoliata",0
"5",4,"Partial","2017","Partial5","Plantago patagonica",0
"5",4,"Partial","2017","Partial5","Nassella tenuis",35
"5",4,"Partial","2017","Partial5","Poa lanuginosa",0
"5",4,"Partial","2017","Partial5","Vicia pampicola",0
"5",3,"Exclosure","2017","Exclosure5","Sporobolus rigens",3
"5",3,"Exclosure","2017","Exclosure5","Noticastrum sericeum",7
"5",3,"Exclosure","2017","Exclosure5","Panicum urvilleanum",0
"5",3,"Exclosure","2017","Exclosure5","Hoffmannseggia trifoliata",0
"5",3,"Exclosure","2017","Exclosure5","Plantago patagonica",0
"5",3,"Exclosure","2017","Exclosure5","Nassella tenuis",35
"5",3,"Exclosure","2017","Exclosure5","Poa lanuginosa",4
"5",3,"Exclosure","2017","Exclosure5","Vicia pampicola",0
"5",1,"Control","2017","Control5","Sporobolus rigens",1
"5",1,"Control","2017","Control5","Noticastrum sericeum",1
"5",1,"Control","2017","Control5","Panicum urvilleanum",0
"5",1,"Control","2017","Control5","Hoffmannseggia trifoliata",0
"5",1,"Control","2017","Control5","Plantago patagonica",0
"5",1,"Control","2017","Control5","Nassella tenuis",15
"5",1,"Control","2017","Control5","Poa lanuginosa",0
"5",1,"Control","2017","Control5","Vicia pampicola",0
"6",4,"Partial","2017","Partial6","Sporobolus rigens",10
"6",4,"Partial","2017","Partial6","Noticastrum sericeum",0
"6",4,"Partial","2017","Partial6","Panicum urvilleanum",0
"6",4,"Partial","2017","Partial6","Hoffmannseggia trifoliata",0
"6",4,"Partial","2017","Partial6","Plantago patagonica",0
"6",4,"Partial","2017","Partial6","Nassella tenuis",7
"6",4,"Partial","2017","Partial6","Poa lanuginosa",0
"6",4,"Partial","2017","Partial6","Vicia pampicola",0
"6",3,"Exclosure","2017","Exclosure6","Sporobolus rigens",2
"6",3,"Exclosure","2017","Exclosure6","Noticastrum sericeum",2
"6",3,"Exclosure","2017","Exclosure6","Panicum urvilleanum",0
"6",3,"Exclosure","2017","Exclosure6","Hoffmannseggia trifoliata",0
"6",3,"Exclosure","2017","Exclosure6","Plantago patagonica",0
"6",3,"Exclosure","2017","Exclosure6","Nassella tenuis",7
"6",3,"Exclosure","2017","Exclosure6","Poa lanuginosa",1
"6",3,"Exclosure","2017","Exclosure6","Vicia pampicola",0
"6",1,"Control","2017","Control6","Sporobolus rigens",2
"6",1,"Control","2017","Control6","Noticastrum sericeum",1
"6",1,"Control","2017","Control6","Panicum urvilleanum",0
"6",1,"Control","2017","Control6","Hoffmannseggia trifoliata",0
"6",1,"Control","2017","Control6","Plantago patagonica",3
"6",1,"Control","2017","Control6","Nassella tenuis",10
"6",1,"Control","2017","Control6","Poa lanuginosa",0
"6",1,"Control","2017","Control6","Vicia pampicola",0
"1",4,"Partial","2018","Partial1","Sporobolus rigens",4
"1",4,"Partial","2018","Partial1","Noticastrum sericeum",0
"1",4,"Partial","2018","Partial1","Panicum urvilleanum",0
"1",4,"Partial","2018","Partial1","Hoffmannseggia trifoliata",0
"1",4,"Partial","2018","Partial1","Plantago patagonica",0
"1",4,"Partial","2018","Partial1","Nassella tenuis",30
"1",4,"Partial","2018","Partial1","Poa lanuginosa",2
"1",4,"Partial","2018","Partial1","Vicia pampicola",0
"1",3,"Exclosure","2018","Exclosure1","Sporobolus rigens",3
"1",3,"Exclosure","2018","Exclosure1","Noticastrum sericeum",1
"1",3,"Exclosure","2018","Exclosure1","Panicum urvilleanum",1
"1",3,"Exclosure","2018","Exclosure1","Hoffmannseggia trifoliata",0
"1",3,"Exclosure","2018","Exclosure1","Plantago patagonica",0
"1",3,"Exclosure","2018","Exclosure1","Nassella tenuis",25
"1",3,"Exclosure","2018","Exclosure1","Poa lanuginosa",1
"1",3,"Exclosure","2018","Exclosure1","Vicia pampicola",0
"1",1,"Control","2018","Control1","Sporobolus rigens",6
"1",1,"Control","2018","Control1","Noticastrum sericeum",2
"1",1,"Control","2018","Control1","Panicum urvilleanum",1
"1",1,"Control","2018","Control1","Hoffmannseggia trifoliata",0
"1",1,"Control","2018","Control1","Plantago patagonica",0
"1",1,"Control","2018","Control1","Nassella tenuis",15
