"Herbivory","Plot","yr","droppings"
"Control",1,"2023",0
"Partial",1,"2023",8
"Control",2,"2023",11
"Partial",2,"2023",6
"Control",3,"2023",0
"Partial",3,"2023",27
"Control",4,"2023",0
"Partial",4,"2023",39
"Control",5,"2023",3
"Partial",5,"2023",42
"Control",6,"2023",4
"Partial",6,"2023",104
"Control",1,"2024",1
"Partial",1,"2024",0
"Control",2,"2024",1
"Partial",2,"2024",2
"Control",3,"2024",3
"Partial",3,"2024",65
"Control",4,"2024",1
"Partial",4,"2024",28
"Control",5,"2024",5
"Partial",5,"2024",89
"Control",6,"2024",9
"Partial",6,"2024",98
"Control",1,"2025",15
"Partial",1,"2025",110
"Control",2,"2025",9
"Partial",2,"2025",103
"Control",3,"2025",3
"Partial",3,"2025",62
"Control",4,"2025",4
"Partial",4,"2025",100
"Control",5,"2025",6
"Partial",5,"2025",114
"Control",6,"2025",8
"Partial",6,"2025",105
