"Plot","SubPlot","Herbivory","yr","uidplot","Litter"
"2",4,"Partial","2017","Partial2",20
"2",3,"Exclosure","2017","Exclosure2",1
"2",1,"Control","2017","Control2",10
"1",4,"Partial","2017","Partial1",5
"1",3,"Exclosure","2017","Exclosure1",5
"1",1,"Control","2017","Control1",25
"3",4,"Partial","2017","Partial3",1
"3",3,"Exclosure","2017","Exclosure3",1
"3",1,"Control","2017","Control3",2
"4",3,"Exclosure","2017","Exclosure4",15
"4",1,"Control","2017","Control4",15
"5",4,"Partial","2017","Partial5",1
"5",3,"Exclosure","2017","Exclosure5",3
"5",1,"Control","2017","Control5",2
"6",4,"Partial","2017","Partial6",5
"6",3,"Exclosure","2017","Exclosure6",1
"6",1,"Control","2017","Control6",3
"1",4,"Partial","2018","Partial1",10
"1",3,"Exclosure","2018","Exclosure1",2
"1",1,"Control","2018","Control1",5
"2",1,"Control","2018","Control2",3
"2",3,"Exclosure","2018","Exclosure2",15
"2",4,"Partial","2018","Partial2",10
"4",3,"Exclosure","2018","Exclosure4",4
"4",4,"Partial","2018","Partial4",2
"4",1,"Control","2018","Control4",5
"3",3,"Exclosure","2018","Exclosure3",1
"3",4,"Partial","2018","Partial3",3
"3",1,"Control","2018","Control3",3
"5",3,"Exclosure","2018","Exclosure5",7
"5",4,"Partial","2018","Partial5",3
"5",1,"Control","2018","Control5",1
"6",3,"Exclosure","2018","Exclosure6",1
"6",4,"Partial","2018","Partial6",3
"6",1,"Control","2018","Control6",1
"4",4,"Partial","2017","Partial4",4
"1",4,"Partial","2019","Partial1",4
"1",3,"Exclosure","2019","Exclosure1",4
"1",1,"Control","2019","Control1",5
"2",1,"Control","2019","Control2",3
"2",3,"Exclosure","2019","Exclosure2",3
"2",4,"Partial","2019","Partial2",10
"4",3,"Exclosure","2019","Exclosure4",8
"4",4,"Partial","2019","Partial4",3
"4",1,"Control","2019","Control4",10
"3",3,"Exclosure","2019","Exclosure3",3
"3",4,"Partial","2019","Partial3",4
"3",1,"Control","2019","Control3",2
"5",3,"Exclosure","2019","Exclosure5",4
"5",4,"Partial","2019","Partial5",1
"5",1,"Control","2019","Control5",2
"6",3,"Exclosure","2019","Exclosure6",2
"6",4,"Partial","2019","Partial6",2
"6",1,"Control","2019","Control6",2
"1",4,"Partial","2020","Partial1",10
"1",3,"Exclosure","2020","Exclosure1",20
"1",1,"Control","2020","Control1",15
"2",1,"Control","2020","Control2",5
"2",3,"Exclosure","2020","Exclosure2",5
"2",4,"Partial","2020","Partial2",10
"4",3,"Exclosure","2020","Exclosure4",7
"4",4,"Partial","2020","Partial4",15
"4",1,"Control","2020","Control4",15
"3",3,"Exclosure","2020","Exclosure3",2
"3",4,"Partial","2020","Partial3",5
"3",1,"Control","2020","Control3",5
"5",3,"Exclosure","2020","Exclosure5",8
"5",4,"Partial","2020","Partial5",10
"5",1,"Control","2020","Control5",2
"6",3,"Exclosure","2020","Exclosure6",7
"6",4,"Partial","2020","Partial6",10
"6",1,"Control","2020","Control6",3
"1",4,"Partial","2021","Partial1",10
"1",3,"Exclosure","2021","Exclosure1",10
"1",1,"Control","2021","Control1",10
"2",1,"Control","2021","Control2",8
"2",3,"Exclosure","2021","Exclosure2",20
"2",4,"Partial","2021","Partial2",15
"4",3,"Exclosure","2021","Exclosure4",30
"4",4,"Partial","2021","Partial4",7
"4",1,"Control","2021","Control4",15
"3",3,"Exclosure","2021","Exclosure3",7
"3",4,"Partial","2021","Partial3",12
"3",1,"Control","2021","Control3",3
"5",3,"Exclosure","2021","Exclosure5",25
"5",4,"Partial","2021","Partial5",6
"5",1,"Control","2021","Control5",3
"6",3,"Exclosure","2021","Exclosure6",10
"6",4,"Partial","2021","Partial6",15
"6",1,"Control","2021","Control6",3
"1",4,"Partial","2022","Partial1",10
"1",3,"Exclosure","2022","Exclosure1",20
"1",1,"Control","2022","Control1",5
"2",1,"Control","2022","Control2",15
"2",3,"Exclosure","2022","Exclosure2",12
"2",4,"Partial","2022","Partial2",10
"4",3,"Exclosure","2022","Exclosure4",40
