"Plot","Herbivory","inter"
1,"Control",0.57504873294347
1,"Exclosure",0.620346927203787
1,"Partial",0.679337231968811
2,"Control",0.769078295341923
2,"Exclosure",0.537574748215495
2,"Partial",0.816125860373648
3,"Control",0.901785714285714
3,"Exclosure",0.757150543866087
3,"Partial",0.869932432432432
4,"Control",0.575641025641026
4,"Exclosure",0.346434707623313
4,"Partial",0.598290598290598
5,"Control",0.857758620689655
5,"Exclosure",0.483938054850616
5,"Partial",0.819047619047619
6,"Control",0.827272727272727
6,"Exclosure",0.378696921073223
6,"Partial",0.761467889908257
