"Plot","yr","Herbivory","uidplot","riq","cov"
"1","2017","Control","Control1",11,41
"1","2017","Exclosure","Exclosure1",10,61
"1","2017","Partial","Partial1",12,55
"1","2018","Control","Control1",12,46
"1","2018","Exclosure","Exclosure1",12,46
"1","2018","Partial","Partial1",11,59
"1","2019","Control","Control1",10,42
"1","2019","Exclosure","Exclosure1",10,73
"1","2019","Partial","Partial1",12,62
"1","2020","Control","Control1",10,41
"1","2020","Exclosure","Exclosure1",10,80
"1","2020","Partial","Partial1",10,65
"1","2021","Control","Control1",9,49
"1","2021","Exclosure","Exclosure1",7,64
"1","2021","Partial","Partial1",6,51
"1","2022","Control","Control1",10,47
"1","2022","Exclosure","Exclosure1",7,65
"1","2022","Partial","Partial1",7,60
"1","2023","Control","Control1",15,63
"1","2023","Exclosure","Exclosure1",9,71
"1","2023","Partial","Partial1",10,52
"1","2024","Control","Control1",13,72
"1","2024","Exclosure","Exclosure1",12,78
"1","2024","Partial","Partial1",12,71
"1","2025","Control","Control1",12,43
"1","2025","Exclosure","Exclosure1",8,68
"1","2025","Partial","Partial1",8,92
"2","2017","Control","Control2",11,37
"2","2017","Exclosure","Exclosure2",12,88
"2","2017","Partial","Partial2",13,41
"2","2018","Control","Control2",12,47
"2","2018","Exclosure","Exclosure2",12,53
"2","2018","Partial","Partial2",13,54
"2","2019","Control","Control2",13,63
"2","2019","Exclosure","Exclosure2",9,50
"2","2019","Partial","Partial2",8,41
"2","2020","Control","Control2",11,56
"2","2020","Exclosure","Exclosure2",11,69
"2","2020","Partial","Partial2",9,59
"2","2021","Control","Control2",12,57
"2","2021","Exclosure","Exclosure2",8,58
"2","2021","Partial","Partial2",10,43
"2","2022","Control","Control2",10,43
"2","2022","Exclosure","Exclosure2",6,48
"2","2022","Partial","Partial2",10,35
"2","2023","Control","Control2",17,71
"2","2023","Exclosure","Exclosure2",7,65
"2","2023","Partial","Partial2",13,41
"2","2024","Control","Control2",18,70
"2","2024","Exclosure","Exclosure2",10,72
"2","2024","Partial","Partial2",15,67
"2","2025","Control","Control2",17,63
"2","2025","Exclosure","Exclosure2",8,85
"2","2025","Partial","Partial2",12,57
"3","2017","Control","Control3",13,42
"3","2017","Exclosure","Exclosure3",15,38
"3","2017","Partial","Partial3",12,54
"3","2018","Control","Control3",9,35
"3","2018","Exclosure","Exclosure3",14,52
"3","2018","Partial","Partial3",12,34
"3","2019","Control","Control3",12,45
"3","2019","Exclosure","Exclosure3",15,31
"3","2019","Partial","Partial3",12,35
"3","2020","Control","Control3",14,44
"3","2020","Exclosure","Exclosure3",13,56
"3","2020","Partial","Partial3",14,43
"3","2021","Control","Control3",14,62
"3","2021","Exclosure","Exclosure3",13,53
"3","2021","Partial","Partial3",14,40
"3","2022","Control","Control3",14,51
"3","2022","Exclosure","Exclosure3",5,110
"3","2022","Partial","Partial3",13,42
"3","2023","Control","Control3",15,55
"3","2023","Exclosure","Exclosure3",14,68
"3","2023","Partial","Partial3",13,50
"3","2024","Control","Control3",16,73
"3","2024","Exclosure","Exclosure3",13,66
"3","2024","Partial","Partial3",17,49
"3","2025","Control","Control3",14,50
"3","2025","Exclosure","Exclosure3",10,92
"3","2025","Partial","Partial3",16,47
"4","2017","Control","Control4",12,58
"4","2017","Exclosure","Exclosure4",10,80
"4","2017","Partial","Partial4",12,57
"4","2018","Control","Control4",13,40
"4","2018","Exclosure","Exclosure4",13,69
"4","2018","Partial","Partial4",15,40
"4","2019","Control","Control4",13,65
"4","2019","Exclosure","Exclosure4",9,113
"4","2019","Partial","Partial4",13,65
"4","2020","Control","Control4",10,56
"4","2020","Exclosure","Exclosure4",8,66
"4","2020","Partial","Partial4",11,60
"4","2021","Control","Control4",16,53
"4","2021","Exclosure","Exclosure4",9,68
"4","2021","Partial","Partial4",13,70
"4","2022","Control","Control4",11,34
"4","2022","Exclosure","Exclosure4",7,31
"4","2022","Partial","Partial4",12,42
"4","2023","Control","Control4",14,47
"4","2023","Exclosure","Exclosure4",13,39
"4","2023","Partial","Partial4",14,38
"4","2024","Control","Control4",17,70
"4","2024","Exclosure","Exclosure4",10,68
"4","2024","Partial","Partial4",16,61
"4","2025","Control","Control4",14,52
"4","2025","Exclosure","Exclosure4",8,51
"4","2025","Partial","Partial4",10,62
"5","2017","Control","Control5",14,48
"5","2017","Exclosure","Exclosure5",12,76
"5","2017","Partial","Partial5",11,76
"5","2018","Control","Control5",9,30
"5","2018","Exclosure","Exclosure5",12,56
"5","2018","Partial","Partial5",9,44
"5","2019","Control","Control5",9,33
"5","2019","Exclosure","Exclosure5",10,53
"5","2019","Partial","Partial5",8,55
"5","2020","Control","Control5",10,41
"5","2020","Exclosure","Exclosure5",11,55
"5","2020","Partial","Partial5",7,51
"5","2021","Control","Control5",13,42
"5","2021","Exclosure","Exclosure5",9,71
"5","2021","Partial","Partial5",8,56
"5","2022","Control","Control5",11,34
"5","2022","Exclosure","Exclosure5",7,61
"5","2022","Partial","Partial5",11,59
"5","2023","Control","Control5",13,34
"5","2023","Exclosure","Exclosure5",8,64
"5","2023","Partial","Partial5",13,69
"5","2024","Control","Control5",15,37
"5","2024","Exclosure","Exclosure5",10,73
"5","2024","Partial","Partial5",12,62
"5","2025","Control","Control5",14,33
"5","2025","Exclosure","Exclosure5",9,77
"5","2025","Partial","Partial5",12,57
"6","2017","Control","Control6",12,45
"6","2017","Exclosure","Exclosure6",13,48
"6","2017","Partial","Partial6",11,40
"6","2018","Control","Control6",11,29
"6","2018","Exclosure","Exclosure6",13,35
"6","2018","Partial","Partial6",10,25
"6","2019","Control","Control6",12,33
"6","2019","Exclosure","Exclosure6",12,78
"6","2019","Partial","Partial6",11,46
"6","2020","Control","Control6",11,45
"6","2020","Exclosure","Exclosure6",14,64
"6","2020","Partial","Partial6",12,61
"6","2021","Control","Control6",11,45
"6","2021","Exclosure","Exclosure6",11,122
"6","2021","Partial","Partial6",12,62
"6","2022","Control","Control6",10,51
"6","2022","Exclosure","Exclosure6",9,99
"6","2022","Partial","Partial6",11,49
"6","2023","Control","Control6",18,68
"6","2023","Exclosure","Exclosure6",6,81
"6","2023","Partial","Partial6",14,48
"6","2024","Control","Control6",14,58
"6","2024","Exclosure","Exclosure6",9,84
"6","2024","Partial","Partial6",12,58
"6","2025","Control","Control6",14,46
"6","2025","Exclosure","Exclosure6",8,99
"6","2025","Partial","Partial6",8,43
